framework,pattern,calls,fwtot,label
langchain_openrouter,.transform,0,0,langchain_openrouter  .transform
langchain_perplexity,.abatch,0,0,langchain_perplexity  .abatch
langchain_perplexity,.acall,0,0,langchain_perplexity  .acall
langchain_perplexity,.agenerate,0,0,langchain_perplexity  .agenerate
langchain_perplexity,.ainvoke,0,0,langchain_perplexity  .ainvoke
langchain_perplexity,.apredict,0,0,langchain_perplexity  .apredict
langchain_perplexity,.apredict_messages,0,0,langchain_perplexity  .apredict_messages
langchain_perplexity,.arun,0,0,langchain_perplexity  .arun
langchain_perplexity,.astream,0,0,langchain_perplexity  .astream
langchain_perplexity,.astream_events,0,0,langchain_perplexity  .astream_events
langchain_perplexity,.atransform,0,0,langchain_perplexity  .atransform
langchain_perplexity,.batch,0,0,langchain_perplexity  .batch
langchain_perplexity,.call,0,0,langchain_perplexity  .call
langchain_perplexity,.generate,0,0,langchain_perplexity  .generate
langchain_perplexity,.invoke,0,0,langchain_perplexity  .invoke
langchain_perplexity,.predict,0,0,langchain_perplexity  .predict
langchain_perplexity,.predict_messages,0,0,langchain_perplexity  .predict_messages
langchain_perplexity,.run,0,0,langchain_perplexity  .run
langchain_perplexity,.stream,0,0,langchain_perplexity  .stream
langchain_perplexity,.stream_events,0,0,langchain_perplexity  .stream_events
langchain_perplexity,.transform,0,0,langchain_perplexity  .transform
langchain_xai,.abatch,0,0,langchain_xai  .abatch
langchain_xai,.acall,0,0,langchain_xai  .acall
langchain_xai,.agenerate,0,0,langchain_xai  .agenerate
langchain_xai,.ainvoke,0,0,langchain_xai  .ainvoke
langchain_xai,.apredict,0,0,langchain_xai  .apredict
langchain_xai,.apredict_messages,0,0,langchain_xai  .apredict_messages
langchain_xai,.arun,0,0,langchain_xai  .arun
langchain_xai,.astream,0,0,langchain_xai  .astream
langchain_xai,.astream_events,0,0,langchain_xai  .astream_events
langchain_xai,.atransform,0,0,langchain_xai  .atransform
langchain_xai,.batch,0,0,langchain_xai  .batch
langchain_xai,.call,0,0,langchain_xai  .call
langchain_xai,.generate,0,0,langchain_xai  .generate
langchain_xai,.invoke,0,0,langchain_xai  .invoke
langchain_xai,.predict,0,0,langchain_xai  .predict
langchain_xai,.predict_messages,0,0,langchain_xai  .predict_messages
langchain_xai,.run,0,0,langchain_xai  .run
langchain_xai,.stream,0,0,langchain_xai  .stream
langchain_xai,.stream_events,0,0,langchain_xai  .stream_events
langchain_xai,.transform,0,0,langchain_xai  .transform
lavague,.execute,0,0,lavague  .execute
lavague,.run,0,0,lavague  .run
llmstack,.run,0,0,llmstack  .run
notte,.run,0,0,notte  .run
npcpy,.chat,0,0,npcpy  .chat
npcpy,.run,0,0,npcpy  .run
npcpy,get_llm_response,0,0,npcpy  get_llm_response
parlant,.arun,0,0,parlant  .arun
parlant,.run,0,0,parlant  .run
patchwork,.run,0,0,patchwork  .run
praisonai,.chat,0,0,praisonai  .chat
praisonai,.run,0,0,praisonai  .run
praisonai,.start,0,0,praisonai  .start
ragaai_catalyst,.evaluate,0,0,ragaai_catalyst  .evaluate
ragaai_catalyst,.run,0,0,ragaai_catalyst  .run
redamon,.run,0,0,redamon  .run
sage,.query,0,0,sage  .query
sage,.run,0,0,sage  .run
solace_agent_mesh,.publish,0,0,solace_agent_mesh  .publish
solace_agent_mesh,.run,0,0,solace_agent_mesh  .run
