importer_slug,name,files
OpenNorve_CogniFold,cognifold,136
OpenNorve_CogniFold,cognee,1
OuyangWenyu_hydrodataset,hydrodataset,44
OuyangWenyu_torchhydro,hydrodataset,18
OuyangWenyu_torchhydro,torchhydro,76
PacificAI_langtest,langtest,84
Open-Source-Legal_OpenContracts,posthog,3
Parisson_Telemeta,telemeta,94
PostHog_posthog-python,posthog,177
PrefectHQ_marvin,marvin,107
PrefectHQ_marvin,logfire,1
OpenSourceAGI_ai-broker-investing-agent,langchain_tavily,1
Privatris_AgentLeak,agentleak,35
Privatris_AgentLeak,forge,1
NuGuardAI_nuguard,nuguard,439
PyPilot-ai_PyPilot-ai,controlflow,96
PyPilot-ai_PyPilot-ai,marvin,1
PyUtilib_pyutilib,pyutilib,144
Purewhiter_mobilegym,appworld,2
Purewhiter_mobilegym,vllm,12
Purewhiter_mobilegym,eval_protocol,1
Purewhiter_mobilegym,diffusers,1
Purewhiter_mobilegym,weave,1
Pylons_pyramid,pyramid,325
Qredence_agentic-fleet,agentic_fleet,162
Qredence_agentic-kernel,agentic_kernel,61
RHEcosystemAppEng_sast-ai-workflow,sast_agent_workflow,34
RedHatInsights_tangerine-backend,tangerine,24
RedHatInsights_tangerine-backend,langchain_postgres,1
NousResearch_hermes-agent,lark_oapi,6
NousResearch_hermes-agent,elevenlabs,2
Qredence_fleet-rlm,fleet_rlm,320
Osilly_Vision-DeepResearch,evalscope,10
Osilly_Vision-DeepResearch,vllm,29
Osilly_Vision-DeepResearch,lmdeploy,7
Osilly_Vision-DeepResearch,opencompass,2
Osilly_Vision-DeepResearch,diffusers,2
Osilly_Vision-DeepResearch,appworld,3
Osilly_Vision-DeepResearch,eval_protocol,2
Osilly_Vision-DeepResearch,weave,1
RedMediaTech_ODTSR,diffsynth,204
ProzorroUKR_openprocurement.api,pyramid,79
ProzorroUKR_openprocurement.api,sentry_sdk,2
ProzorroUKR_openprocurement.api,motor,2
RevoltSecurities_RAI,langchain_litellm,2
Rimuwu_DinoGochi,motor,4
Rimuwu_DinoGochi,g4f,2
Rvosy_Sakura,posthog,1
SarthakJariwala_sqlsaber,sqlsaber,131
Scale3-Labs_langtrace-python-sdk,langtrace_python_sdk,182
Scale3-Labs_langtrace-python-sdk,sentry_sdk,1
SREGym_SREGym,sregym,267
SREGym_SREGym,langchain_litellm,1
ScrapeGraphAI_Scrapegraph-ai,scrapegraphai,110
Shy2593666979_AgentChat,lark_oapi,23
Serverless-Devs_agentrun-sdk-python,agentscope,4
Shubhamsaboo_awesome-llm-apps,elevenlabs,2
Shubhamsaboo_awesome-llm-apps,evoagentx,1
